HS Code,Commodity Name,Year,Month,Country,Nominal Value,Annual Inflation Rate,CPI,Real Value,Category Type
7404,Copper Waste And Scrap,2019,Aug,Suriname,211470,1.81,117.2345,180382.0547705667,Refined / Articles
7404,Copper Waste And Scrap,2019,Sep,Suriname,14998,1.81,117.2345,12793.162422324487,Refined / Articles
7404,Copper Waste And Scrap,2019,Oct,Suriname,66959,1.81,117.2345,57115.43956770405,Refined / Articles
7404,Copper Waste And Scrap,2019,Dec,Suriname,153916,1.81,117.2345,131288.99769265874,Refined / Articles
7404,Copper Waste And Scrap,2020,Jan,Suriname,15238,1.23,118.6765,12839.94725156202,Refined / Articles
7404,Copper Waste And Scrap,2020,Feb,Suriname,127857,1.23,118.6765,107735.73538147821,Refined / Articles
7404,Copper Waste And Scrap,2020,Mar,Suriname,15706,1.23,118.6765,13234.29659620902,Refined / Articles
7404,Copper Waste And Scrap,2020,Jun,Suriname,82804,1.23,118.6765,69772.86994476581,Refined / Articles
7404,Copper Waste And Scrap,2020,Aug,Suriname,12196,1.23,118.6765,10276.676511356503,Refined / Articles
7404,Copper Waste And Scrap,2020,Sep,Suriname,8116,1.23,118.6765,6838.759147767249,Refined / Articles
7404,Copper Waste And Scrap,2020,Oct,Suriname,93148,1.23,118.6765,78489.00161363033,Refined / Articles
7404,Copper Waste And Scrap,2020,Nov,Suriname,4198,1.23,118.6765,3537.3473265558046,Refined / Articles
7404,Copper Waste And Scrap,2020,Dec,Suriname,6778,1.23,118.6765,5711.324482943127,Refined / Articles
7404,Copper Waste And Scrap,2021,Jan,Suriname,95581,4.7,124.2543,76923.69600086274,Refined / Articles
7404,Copper Waste And Scrap,2021,Feb,Suriname,6259,4.7,124.2543,5037.250219911906,Refined / Articles
7404,Copper Waste And Scrap,2021,Mar,Suriname,14730,4.7,124.2543,11854.720520738518,Refined / Articles
7404,Copper Waste And Scrap,2021,Apr,Suriname,191400,4.7,124.2543,154038.93466865935,Refined / Articles
7404,Copper Waste And Scrap,2021,May,Suriname,304132,4.7,124.2543,244765.77470558364,Refined / Articles
7404,Copper Waste And Scrap,2021,Jul,Suriname,3264,4.7,124.2543,2626.8708608072316,Refined / Articles
7404,Copper Waste And Scrap,2021,Aug,Suriname,212220,4.7,124.2543,170794.8940197643,Refined / Articles
7404,Copper Waste And Scrap,2021,Sep,Suriname,211385,4.7,124.2543,170122.88508325265,Refined / Articles
7404,Copper Waste And Scrap,2021,Oct,Suriname,206320,4.7,124.2543,166046.56740249635,Refined / Articles
7404,Copper Waste And Scrap,2021,Nov,Suriname,684604,4.7,124.2543,550970.0670318855,Refined / Articles
7404,Copper Waste And Scrap,2021,Dec,Suriname,197441,4.7,124.2543,158900.7382440688,Refined / Articles
7404,Copper Waste And Scrap,2022,Jan,Suriname,485865,8.0,134.1947,362059.7534775963,Refined / Articles
7404,Copper Waste And Scrap,2022,Feb,Suriname,120418,8.0,134.1947,89733.79723640352,Refined / Articles
7404,Copper Waste And Scrap,2022,Mar,Suriname,227166,8.0,134.1947,169280.90304609644,Refined / Articles
7404,Copper Waste And Scrap,2022,Apr,Suriname,14204,8.0,134.1947,10584.62070409636,Refined / Articles
7404,Copper Waste And Scrap,2022,May,Suriname,377718,8.0,134.1947,281470.13257602573,Refined / Articles
7404,Copper Waste And Scrap,2022,Jun,Suriname,559033,8.0,134.1947,416583.5163385737,Refined / Articles
7404,Copper Waste And Scrap,2022,Jul,Suriname,190536,8.0,134.1947,141984.7430636232,Refined / Articles
7404,Copper Waste And Scrap,2022,Aug,Suriname,113901,8.0,134.1947,84877.42064328918,Refined / Articles
7404,Copper Waste And Scrap,2022,Oct,Suriname,234539,8.0,134.1947,174775.15878048836,Refined / Articles
7404,Copper Waste And Scrap,2022,Nov,Suriname,154942,8.0,134.1947,115460.59568671489,Refined / Articles
7404,Copper Waste And Scrap,2022,Dec,Suriname,387753,8.0,134.1947,288948.07321004476,Refined / Articles
