Commodities,Countries,Nominal_Value,HS_Code,Month,Year,Inflation_Rate,CPI,Real_Value,CategoryType,YearMonth
7616 Articles Of Aluminum Nesoi,Vietnam,178376,7616,12,2012,1.7,104.75099999999999,170285.725,Refined/Articles,2012-12-01
7616 Articles Of Aluminum Nesoi,Cambodia,1592355,7616,11,2025,2.7,148.07891445527505,1075342.162,Refined/Articles,2025-11-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Vietnam,16689,7607,5,2019,2.3,117.27772275086842,14230.324,Refined/Articles,2019-05-01
7616 Articles Of Aluminum Nesoi,Cambodia,511038,7616,6,2020,1.4,118.91961086938058,429734.0,Refined/Articles,2020-06-01
7609 Aluminum Tube Or Pipe Fittings,Malaysia,20804,7609,11,2012,1.7,104.75099999999999,19860.431,Other,2012-11-01
7605 Aluminum Wire,Malaysia,36736,7605,1,2025,2.7,148.07891445527505,24808.394,Refined/Articles,2025-01-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Indonesia,2896391,7610,3,2021,7.0,127.24398363023722,2276249.861,Refined/Articles,2021-03-01
7602 Aluminum Waste And Scrap,Thailand,352949,7602,2,2017,2.1,112.50341531513985,313722.92,Ore/Raw,2017-02-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Vietnam,5276271,7610,12,2024,2.9,144.18589528264368,3659353.08,Refined/Articles,2024-12-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Burma,65219,7607,7,2023,3.4,140.12234721345354,46544.325,Refined/Articles,2023-07-01
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Malaysia,6905,3801,8,2015,0.7,107.92305302183996,6398.077,Other,2015-08-01
"7403 Refined Copper & Alloys (no Mast Alloy), Unwrought",Malaysia,14460,7403,8,2018,1.9,114.6409802061275,12613.291,Refined/Articles,2018-08-01
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Vietnam,3315796,7615,11,2018,1.9,114.6409802061275,2892330.469,Other,2018-11-01
7616 Articles Of Aluminum Nesoi,Singapore,304955,7616,12,2010,1.5,100.0,304955.0,Refined/Articles,2010-12-01
7411 Copper Tubes And Pipes,Vietnam,1103261,7411,7,2021,7.0,127.24398363023722,867043.744,Refined/Articles,2021-07-01
"7407 Copper Bars, Rods And Profiles",Malaysia,370309,7407,6,2024,2.9,144.18589528264368,256827.479,Refined/Articles,2024-06-01
7608 Aluminum Tubes And Pipes,Singapore,4485,7608,5,2014,0.8,107.17284311999997,4184.829,Refined/Articles,2014-05-01
7608 Aluminum Tubes And Pipes,Thailand,10843,7608,10,2014,0.8,107.17284311999997,10117.302,Refined/Articles,2014-10-01
"7407 Copper Bars, Rods And Profiles",Malaysia,707550,7407,5,2014,0.8,107.17284311999997,660195.232,Refined/Articles,2014-05-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Malaysia,2458097,7610,2,2019,2.3,117.27772275086842,2095962.424,Refined/Articles,2019-02-01
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Malaysia,10677,7415,6,2018,1.9,114.6409802061275,9313.424,Other,2018-06-01
7907 Articles Of Zinc Nesoi,Vietnam,162203,7907,12,2012,1.7,104.75099999999999,154846.254,Refined/Articles,2012-12-01
7616 Articles Of Aluminum Nesoi,Singapore,110893,7616,12,2011,3.0,103.0,107663.107,Refined/Articles,2011-12-01
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Malaysia,37325,2846,8,2017,2.1,112.50341531513985,33176.771,Compound,2017-08-01
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Singapore,2419,7415,7,2013,1.5,106.32226499999997,2275.158,Other,2013-07-01
"7611 Tanks Etc, Over 300 Liter Capacity, Aluminum",Thailand,3350,7611,2,2010,1.5,100.0,3350.0,Other,2010-02-01
7419 Articles Of Copper Nesoi,Philippines,37859,7419,12,2019,2.3,117.27772275086842,32281.493,Refined/Articles,2019-12-01
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Vietnam,323112,7606,4,2024,2.9,144.18589528264368,224094.041,Refined/Articles,2024-04-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Singapore,804292,7610,10,2021,7.0,127.24398363023722,632086.467,Refined/Articles,2021-10-01
"7508 Articles Of Nickel, Nesoi",Indonesia,1494154,7508,10,2024,2.9,144.18589528264368,1036269.184,Refined/Articles,2024-10-01
7503 Nickel Waste And Scrap,Singapore,1240376,7503,10,2021,7.0,127.24398363023722,974801.295,Ore/Raw,2021-10-01
7408 Copper Wire,Malaysia,141700,7408,2,2014,0.8,107.17284311999997,132216.33,Refined/Articles,2014-02-01
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Thailand,407659,7612,6,2022,6.5,135.51484256620265,300822.399,Other,2022-06-01
7412 Copper Tube Or Pipe Fittings,Singapore,410974,7412,7,2018,1.9,114.6409802061275,358487.863,Other,2018-07-01
2820 Manganese Oxides,Singapore,19380,2820,11,2010,1.5,100.0,19380.0,Compound,2010-11-01
2817 Zinc Oxide And Zinc Peroxide,Malaysia,239808,2817,3,2024,2.9,144.18589528264368,166318.626,Compound,2024-03-01
7907 Articles Of Zinc Nesoi,Malaysia,330458,7907,5,2023,3.4,140.12234721345354,235835.33,Refined/Articles,2023-05-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Thailand,224637,7607,5,2013,1.5,106.32226499999997,211279.359,Refined/Articles,2013-05-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Vietnam,10872096,7610,1,2023,3.4,140.12234721345354,7759002.198,Refined/Articles,2023-01-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Singapore,335991,7607,1,2011,3.0,103.0,326204.854,Refined/Articles,2011-01-01
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Thailand,87579,7410,2,2024,2.9,144.18589528264368,60740.338,Refined/Articles,2024-02-01
7907 Articles Of Zinc Nesoi,Vietnam,411014,7907,11,2022,6.5,135.51484256620265,303298.142,Refined/Articles,2022-11-01
"7604 Aluminum Bars, Rods And Profiles",Singapore,26507,7604,2,2019,2.3,117.27772275086842,22601.905,Refined/Articles,2019-02-01
7419 Articles Of Copper Nesoi,Singapore,93298,7419,8,2018,1.9,114.6409802061275,81382.765,Refined/Articles,2018-08-01
7616 Articles Of Aluminum Nesoi,Vietnam,15137245,7616,8,2022,6.5,135.51484256620265,11170174.952,Refined/Articles,2022-08-01
"7614 Stranded Wire, Cables Etc, Aluminum, No Elec Insul",Cambodia,1138998,7614,11,2025,2.7,148.07891445527505,769183.11,Refined/Articles,2025-11-01
"7614 Stranded Wire, Cables Etc, Aluminum, No Elec Insul",Thailand,143910,7614,9,2023,3.4,140.12234721345354,102703.104,Refined/Articles,2023-09-01
7412 Copper Tube Or Pipe Fittings,Singapore,1004123,7412,7,2023,3.4,140.12234721345354,716604.467,Other,2023-07-01
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Singapore,40781,7615,12,2023,3.4,140.12234721345354,29103.852,Other,2023-12-01
"7604 Aluminum Bars, Rods And Profiles",Philippines,5762,7604,12,2014,0.8,107.17284311999997,5376.362,Refined/Articles,2014-12-01
7608 Aluminum Tubes And Pipes,Vietnam,196713,7608,9,2014,0.8,107.17284311999997,183547.431,Refined/Articles,2014-09-01
7408 Copper Wire,Malaysia,347081,7408,2,2010,1.5,100.0,347081.0,Refined/Articles,2010-02-01
7907 Articles Of Zinc Nesoi,Philippines,22295,7907,7,2020,1.4,118.91961086938058,18747.959,Refined/Articles,2020-07-01
7907 Articles Of Zinc Nesoi,Vietnam,312297,7907,1,2019,2.3,117.27772275086842,266288.424,Refined/Articles,2019-01-01
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Thailand,808700,7418,12,2021,7.0,127.24398363023722,635550.677,Other,2021-12-01
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Vietnam,273840,8111,8,2011,3.0,103.0,265864.078,Ore/Raw,2011-08-01
7616 Articles Of Aluminum Nesoi,Singapore,207345,7616,9,2012,1.7,104.75099999999999,197940.831,Refined/Articles,2012-09-01
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Philippines,15192,7612,10,2020,1.4,118.91961086938058,12775.017,Other,2020-10-01
"7508 Articles Of Nickel, Nesoi",Singapore,82610,7508,4,2017,2.1,112.50341531513985,73428.882,Refined/Articles,2017-04-01
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Indonesia,51383,7418,6,2014,0.8,107.17284311999997,47944.049,Other,2014-06-01
7408 Copper Wire,Vietnam,2185214,7408,12,2024,2.9,144.18589528264368,1515553.235,Refined/Articles,2024-12-01
7907 Articles Of Zinc Nesoi,Indonesia,11115,7907,2,2021,7.0,127.24398363023722,8735.187,Refined/Articles,2021-02-01
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Thailand,262031,7418,11,2011,3.0,103.0,254399.029,Other,2011-11-01
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Singapore,1414256,7410,11,2025,2.7,148.07891445527505,955069.13,Refined/Articles,2025-11-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Indonesia,1691751,7607,6,2018,1.9,114.6409802061275,1475694.814,Refined/Articles,2018-06-01
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Thailand,233453,7418,12,2015,0.7,107.92305302183996,216314.303,Other,2015-12-01
7408 Copper Wire,Indonesia,3258,7408,6,2016,2.1,110.18943713529859,2956.726,Refined/Articles,2016-06-01
7608 Aluminum Tubes And Pipes,Malaysia,4121,7608,2,2010,1.5,100.0,4121.0,Refined/Articles,2010-02-01
"7508 Articles Of Nickel, Nesoi",Malaysia,25227,7508,9,2018,1.9,114.6409802061275,22005.22,Refined/Articles,2018-09-01
"7614 Stranded Wire, Cables Etc, Aluminum, No Elec Insul",Vietnam,183984,7614,8,2020,1.4,118.91961086938058,154712.918,Refined/Articles,2020-08-01
7613 Aluminum Containers For Compressed Or Liquefid Gas,Thailand,108359,7613,11,2024,2.9,144.18589528264368,75152.289,Refined/Articles,2024-11-01
7608 Aluminum Tubes And Pipes,Thailand,6993,7608,7,2017,2.1,112.50341531513985,6215.811,Refined/Articles,2017-07-01
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Malaysia,6534,7418,11,2023,3.4,140.12234721345354,4663.068,Other,2023-11-01
7412 Copper Tube Or Pipe Fittings,Vietnam,4050942,7412,12,2021,7.0,127.24398363023722,3183601.994,Other,2021-12-01
7907 Articles Of Zinc Nesoi,Indonesia,12626,7907,4,2016,2.1,110.18943713529859,11458.449,Refined/Articles,2016-04-01
7605 Aluminum Wire,Malaysia,27385,7605,5,2023,3.4,140.12234721345354,19543.635,Refined/Articles,2023-05-01
2817 Zinc Oxide And Zinc Peroxide,Malaysia,237550,2817,12,2023,3.4,140.12234721345354,169530.417,Compound,2023-12-01
7616 Articles Of Aluminum Nesoi,Philippines,410657,7616,3,2022,6.5,135.51484256620265,303034.702,Refined/Articles,2022-03-01
7408 Copper Wire,Singapore,18302,7408,8,2013,1.5,106.32226499999997,17213.704,Refined/Articles,2013-08-01
7419 Articles Of Copper Nesoi,Indonesia,275575,7419,1,2023,3.4,140.12234721345354,196667.416,Refined/Articles,2023-01-01
7503 Nickel Waste And Scrap,Philippines,15814,7503,2,2018,1.9,114.6409802061275,13794.369,Ore/Raw,2018-02-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Vietnam,2201,7607,11,2018,1.9,114.6409802061275,1919.907,Refined/Articles,2018-11-01
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Thailand,997935,7606,10,2016,2.1,110.18943713529859,905653.959,Refined/Articles,2016-10-01
"7601 Aluminum, Unwrought",Thailand,251684,7601,1,2015,0.7,107.92305302183996,233206.894,Refined/Articles,2015-01-01
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Vietnam,289154,7415,7,2025,2.7,148.07891445527505,195270.205,Other,2025-07-01
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Philippines,8711,7615,1,2023,3.4,140.12234721345354,6216.71,Other,2023-01-01
"7508 Articles Of Nickel, Nesoi",Indonesia,528129,7508,3,2024,2.9,144.18589528264368,366283.4,Refined/Articles,2024-03-01
7616 Articles Of Aluminum Nesoi,Vietnam,258673,7616,11,2014,0.8,107.17284311999997,241360.584,Refined/Articles,2014-11-01
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Indonesia,251147,7615,6,2013,1.5,106.32226499999997,236212.989,Other,2013-06-01
7412 Copper Tube Or Pipe Fittings,Thailand,2366050,7412,1,2024,2.9,144.18589528264368,1640971.882,Other,2024-01-01
7907 Articles Of Zinc Nesoi,Cambodia,23843,7907,1,2025,2.7,148.07891445527505,16101.55,Refined/Articles,2025-01-01
7608 Aluminum Tubes And Pipes,Thailand,73957,7608,7,2025,2.7,148.07891445527505,49944.315,Refined/Articles,2025-07-01
7616 Articles Of Aluminum Nesoi,Malaysia,1185081,7616,2,2021,7.0,127.24398363023722,931345.409,Refined/Articles,2021-02-01
7608 Aluminum Tubes And Pipes,Thailand,37785,7608,5,2020,1.4,118.91961086938058,31773.565,Refined/Articles,2020-05-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Singapore,275664,7607,10,2010,1.5,100.0,275664.0,Refined/Articles,2010-10-01
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Singapore,434322,8108,1,2018,1.9,114.6409802061275,378854.053,Ore/Raw,2018-01-01
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Philippines,51754,7410,5,2017,2.1,112.50341531513985,46002.159,Refined/Articles,2017-05-01
7404 Copper Waste And Scrap,Vietnam,139818,7404,4,2021,7.0,127.24398363023722,109881.816,Ore/Raw,2021-04-01
7411 Copper Tubes And Pipes,Vietnam,7893808,7411,8,2016,2.1,110.18943713529859,7163851.822,Refined/Articles,2016-08-01
7503 Nickel Waste And Scrap,Vietnam,3836,7503,9,2015,0.7,107.92305302183996,3554.384,Ore/Raw,2015-09-01
7608 Aluminum Tubes And Pipes,Thailand,12459,7608,1,2022,6.5,135.51484256620265,9193.827,Refined/Articles,2022-01-01
7907 Articles Of Zinc Nesoi,Thailand,193268,7907,6,2017,2.1,112.50341531513985,171788.563,Refined/Articles,2017-06-01
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Vietnam,17224,7606,3,2015,0.7,107.92305302183996,15959.519,Refined/Articles,2015-03-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Malaysia,104100,7607,12,2013,1.5,106.32226499999997,97909.878,Refined/Articles,2013-12-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Thailand,6858,7610,5,2011,3.0,103.0,6658.252,Refined/Articles,2011-05-01
"3606 Ferrocerium & Other Pyrophoric Alloys, Etc.",Philippines,74040,3606,4,2016,2.1,110.18943713529859,67193.373,Refined/Articles,2016-04-01
7503 Nickel Waste And Scrap,Singapore,591460,7503,11,2013,1.5,106.32226499999997,556289.88,Ore/Raw,2013-11-01
7412 Copper Tube Or Pipe Fittings,Singapore,894567,7412,2,2021,7.0,127.24398363023722,703032.846,Other,2021-02-01
"7601 Aluminum, Unwrought",Malaysia,7232,7601,9,2014,0.8,107.17284311999997,6747.978,Refined/Articles,2014-09-01
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Indonesia,13096,7415,3,2011,3.0,103.0,12714.563,Other,2011-03-01
7608 Aluminum Tubes And Pipes,Singapore,13910,7608,3,2018,1.9,114.6409802061275,12133.532,Refined/Articles,2018-03-01
7605 Aluminum Wire,Malaysia,142560,7605,7,2016,2.1,110.18943713529859,129377.192,Refined/Articles,2016-07-01
7412 Copper Tube Or Pipe Fittings,Thailand,866694,7412,4,2010,1.5,100.0,866694.0,Other,2010-04-01
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Malaysia,114834,7410,12,2013,1.5,106.32226499999997,108005.6,Refined/Articles,2013-12-01
"7407 Copper Bars, Rods And Profiles",Malaysia,2769302,7407,7,2024,2.9,144.18589528264368,1920646.95,Refined/Articles,2024-07-01
"7413 Stranded Wire, Cable Etc Of Copper, Not Elec Insul",Thailand,23210,7413,3,2017,2.1,112.50341531513985,20630.485,Refined/Articles,2017-03-01
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Singapore,48103,7615,3,2024,2.9,144.18589528264368,33361.793,Other,2024-03-01
7907 Articles Of Zinc Nesoi,Singapore,59564,7907,5,2022,6.5,135.51484256620265,43953.857,Refined/Articles,2022-05-01
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Malaysia,10000,7415,4,2013,1.5,106.32226499999997,9405.368,Other,2013-04-01
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Vietnam,159682,8111,8,2012,1.7,104.75099999999999,152439.595,Ore/Raw,2012-08-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Singapore,6236,7607,9,2021,7.0,127.24398363023722,4900.821,Refined/Articles,2021-09-01
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Singapore,2112,7606,9,2017,2.1,112.50341531513985,1877.276,Refined/Articles,2017-09-01
"7604 Aluminum Bars, Rods And Profiles",Philippines,5840,7604,7,2015,0.7,107.92305302183996,5411.263,Refined/Articles,2015-07-01
"7901 Zinc, Unwrought",Singapore,6250,7901,8,2023,3.4,140.12234721345354,4460.388,Refined/Articles,2023-08-01
7419 Articles Of Copper Nesoi,Singapore,67297,7419,4,2020,1.4,118.91961086938058,56590.33,Refined/Articles,2020-04-01
7408 Copper Wire,Malaysia,126598,7408,12,2017,2.1,112.50341531513985,112528.139,Refined/Articles,2017-12-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Malaysia,776979,7607,8,2017,2.1,112.50341531513985,690627.034,Refined/Articles,2017-08-01
7602 Aluminum Waste And Scrap,Thailand,55158,7602,2,2016,2.1,110.18943713529859,50057.43,Ore/Raw,2016-02-01
7616 Articles Of Aluminum Nesoi,Philippines,21625,7616,5,2010,1.5,100.0,21625.0,Refined/Articles,2010-05-01
7412 Copper Tube Or Pipe Fittings,Indonesia,595628,7412,5,2012,1.7,104.75099999999999,568613.187,Other,2012-05-01
"3606 Ferrocerium & Other Pyrophoric Alloys, Etc.",Philippines,533060,3606,6,2021,7.0,127.24398363023722,418927.469,Refined/Articles,2021-06-01
7408 Copper Wire,Malaysia,36803,7408,8,2024,2.9,144.18589528264368,25524.688,Refined/Articles,2024-08-01
7412 Copper Tube Or Pipe Fittings,Singapore,526409,7412,2,2014,0.8,107.17284311999997,491177.601,Other,2014-02-01
7503 Nickel Waste And Scrap,Vietnam,11384,7503,7,2013,1.5,106.32226499999997,10707.071,Ore/Raw,2013-07-01
7408 Copper Wire,Singapore,71488,7408,12,2016,2.1,110.18943713529859,64877.362,Refined/Articles,2016-12-01
"7614 Stranded Wire, Cables Etc, Aluminum, No Elec Insul",Cambodia,504673,7614,6,2024,2.9,144.18589528264368,350015.512,Refined/Articles,2024-06-01
"7407 Copper Bars, Rods And Profiles",Thailand,4645327,7407,1,2025,2.7,148.07891445527505,3137061.76,Refined/Articles,2025-01-01
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Malaysia,1175245,7612,2,2022,6.5,135.51484256620265,867244.486,Other,2022-02-01
"7604 Aluminum Bars, Rods And Profiles",Malaysia,3160486,7604,10,2017,2.1,112.50341531513985,2809235.605,Refined/Articles,2017-10-01
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Malaysia,253646,3801,1,2022,6.5,135.51484256620265,187172.117,Other,2022-01-01
"7413 Stranded Wire, Cable Etc Of Copper, Not Elec Insul",Thailand,830856,7413,2,2011,3.0,103.0,806656.311,Refined/Articles,2011-02-01
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Thailand,331504,7606,5,2011,3.0,103.0,321848.544,Refined/Articles,2011-05-01
"7604 Aluminum Bars, Rods And Profiles",Singapore,2143,7604,4,2012,1.7,104.75099999999999,2045.804,Refined/Articles,2012-04-01
7503 Nickel Waste And Scrap,Singapore,2764247,7503,8,2024,2.9,144.18589528264368,1917141.059,Ore/Raw,2024-08-01
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Singapore,79771,7606,1,2011,3.0,103.0,77447.573,Refined/Articles,2011-01-01
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Thailand,178622,7612,8,2024,2.9,144.18589528264368,123883.13,Other,2024-08-01
